Service_Quality,Ticket_Resolution_Speed,Website_Ease_of_Use,Mobile_App_Experience,Escalation_Handling,Value_Adds,Customer_Support_Responsiveness,Transparency_in_Policy,Trust_in_Company,Technical_Issue_Frequency,Would_Recommend,Use_Again,Overall_IT_Support,CSI_Index,Customer_Feedback,Sentiment_Score,CSI_Score
excellent,poor,very poor,poor,good,very poor,very poor,good,yes,Sometimes,,no,,low,Minute send carry performance peace bag country technology total upon month class team.,0.19685113999999998,61.720362738
good,poor,good,very poor,good,poor,excellent,poor,,Never,yes,no,Good,low,,-0.7259431009999999,52.121048679000005
excellent,,poor,poor,average,excellent,poor,poor,no,Always,yes,yes,Bad,low,,-0.337619739,50.0
,very poor,very poor,poor,good,good,,very poor,no,Often,no,no,,low,,-0.997234763,50.0
good,poor,average,poor,excellent,average,poor,very poor,no,Never,no,yes,Neutral,low,,-1.0,55.388107188
poor,poor,average,very poor,good,average,,,no,,no,,Neutral,medium,,0.154663852,89.547461217
good,,,excellent,good,excellent,excellent,average,,Never,yes,,Very Good,low,,-0.791327702,56.377446675
excellent,very poor,good,poor,very poor,average,good,poor,,,yes,yes,,low,Clear realize either trial generation year notice brother.,-0.604892324,56.925891774
,good,average,,excellent,,poor,average,,Never,yes,no,Very Good,low,,-0.143223505,51.52440938
,average,average,,very poor,very poor,poor,very poor,yes,Always,no,yes,Bad,low,,-0.330773313,50.0
,average,,average,good,poor,very poor,average,yes,Often,yes,no,Good,low,,0.45870488800000003,59.496593301
excellent,,good,poor,excellent,good,good,poor,,Always,no,no,Very Good,low,,0.446861141,60.2497454
poor,good,good,good,excellent,very poor,average,poor,yes,,,no,Bad,low,,0.216017397,51.638836383
good,very poor,poor,average,,average,,average,yes,,,,Good,low,,-1.0,55.546550513999996
,,good,,,very poor,poor,excellent,,Never,no,,Bad,medium,,-0.391835694,80.56460565
excellent,excellent,,good,average,very poor,excellent,very poor,,Always,,no,Good,medium,,1.0,78.14101381900001
average,,average,very poor,,good,,good,no,Sometimes,yes,yes,Good,low,,-0.382973531,62.131249521
good,very poor,very poor,good,very poor,,average,good,,,yes,,Good,low,,-0.557361397,54.106547148
good,,poor,very poor,good,very poor,poor,excellent,yes,Often,no,,,medium,,-0.613433675,80.42826320100001
very poor,very poor,,very poor,good,poor,good,poor,no,Never,,yes,,medium,Boy our no coach box morning certainly foreign rule.,-0.0974586,88.23859978499999
excellent,poor,poor,good,very poor,very poor,excellent,good,no,Sometimes,yes,yes,Bad,medium,,-0.912326464,78.08279760900001
excellent,excellent,excellent,very poor,,very poor,excellent,poor,yes,Always,,,Bad,medium,South save either will another middle leave war.,-0.48733654099999996,77.724826586
very poor,good,,excellent,,,poor,poor,,Never,yes,,Bad,medium,Sea little already prove day both statement without land change.,-0.5562287109999999,80.399688444
excellent,average,good,excellent,poor,excellent,excellent,very poor,,Never,no,no,Good,low,,0.17954230200000001,67.71090728600001
very poor,good,poor,,average,average,very poor,very poor,,Sometimes,yes,,Neutral,medium,,-0.144584861,71.53142672700001
excellent,good,excellent,,excellent,,good,,yes,,,no,Neutral,medium,,0.35120504900000005,81.58420293100001
excellent,good,excellent,good,excellent,very poor,,good,,Often,no,no,Bad,medium,,0.7314893760000001,80.666106763
,,very poor,very poor,,good,poor,,yes,Often,,,Very Bad,medium,,-0.440264338,83.993786118
poor,,average,good,excellent,good,,very poor,,,,,Very Bad,medium,,-0.530141821,78.44054454900001
good,,very poor,very poor,poor,good,poor,very poor,no,Always,yes,yes,,low,,-1.0,64.50292522800001
very poor,good,poor,excellent,average,excellent,average,good,yes,Always,yes,,Neutral,high,,-0.390931271,90.021664
,,very poor,poor,poor,poor,good,very poor,yes,Often,,no,Bad,medium,,-1.0,78.663213369
poor,,good,very poor,,excellent,very poor,poor,,Always,no,,,medium,,0.442021739,83.942996589
average,,average,,good,,poor,very poor,no,Always,no,no,Bad,low,,-0.036875447000000006,50.0
excellent,average,average,very poor,,,excellent,,,Often,yes,no,Very Good,high,Write nor a very senior however table move will wonder white through.,-0.021192407999999996,100.0
good,average,excellent,very poor,excellent,very poor,very poor,poor,yes,Always,no,no,Very Bad,low,President already recent with fish capital certainly fire back well administration president.,-1.0,51.398818992
poor,poor,excellent,excellent,,excellent,average,average,yes,,,,Bad,high,,0.0071965580000000196,100.0
very poor,poor,average,very poor,average,average,poor,poor,,Sometimes,no,yes,Bad,low,This people product he thousand question throw late prevent from major campaign.,-1.0,58.364400249000006
,,very poor,excellent,excellent,poor,poor,very poor,yes,Always,no,,Very Good,low,Situation run prepare reduce quite environmental approach.,-0.781833792,51.234659874
excellent,good,poor,poor,very poor,average,very poor,excellent,yes,,no,no,Good,low,,0.281071916,67.999511196
good,very poor,good,,excellent,excellent,average,poor,,Never,,no,Very Bad,low,,-0.297861103,54.63584223
,very poor,good,poor,average,very poor,good,,yes,Sometimes,,,,medium,,0.6152986540000001,70.333120647
good,,very poor,,average,,good,,yes,Sometimes,,no,Neutral,medium,Us effect opportunity your serious visit.,-0.5798604199999999,85.457796723
good,,,good,excellent,poor,very poor,very poor,no,Sometimes,no,,Good,low,,0.32596899900000004,55.571082498
excellent,good,excellent,,average,good,excellent,poor,,Sometimes,yes,,Bad,low,,0.727007561,55.937875774000005
good,poor,average,,poor,,poor,good,yes,Never,,,Very Bad,medium,Radio by woman poor message couple.,-0.572370367,70.693757145
,good,good,very poor,,excellent,excellent,good,yes,Often,,no,Very Bad,low,,-0.5376319169999999,67.93138317900001
average,good,average,excellent,good,very poor,excellent,good,,Sometimes,,yes,Bad,high,,0.5747383610000001,100.0
good,excellent,excellent,very poor,average,average,,very poor,,Never,no,no,Very Bad,medium,,0.234299665,80.63611254
very poor,poor,average,good,average,,average,excellent,,,no,,Good,medium,,0.6138507959999999,89.233968834
good,poor,poor,,very poor,average,very poor,average,,Often,,no,Bad,low,Radio week and fast including keep care evidence.,-1.0,59.015249405999995
average,average,very poor,poor,very poor,good,good,very poor,yes,Sometimes,no,yes,Very Bad,medium,,-0.753620285,72.027293589
,,,good,average,,very poor,excellent,,Always,yes,,Neutral,low,Include series road control news person drive later popular newspaper amount number us.,-0.831870714,50.61286328
good,average,poor,,excellent,very poor,good,,,Sometimes,no,yes,Bad,medium,Report organization outside imagine bank agency a card notice the.,-0.930621897,86.61965393700001
,poor,very poor,good,poor,good,,good,no,Often,yes,,,low,,-0.10887328700000001,58.312068831000005
average,good,very poor,average,very poor,very poor,excellent,good,yes,Always,no,yes,Good,low,Point good training gas return develop everything walk Democrat sense still.,0.6810405719999999,54.308437488
good,very poor,excellent,poor,,good,average,average,no,Always,no,no,Neutral,medium,,-0.898500302,70.539673077
excellent,poor,,average,poor,very poor,very poor,excellent,no,,,no,Neutral,medium,Mission read school purpose structure national affect.,-1.0,80.025983784
average,,excellent,average,good,poor,average,very poor,yes,Sometimes,,yes,Very Good,low,,-0.787877986,61.651078245
good,poor,poor,very poor,,,poor,good,,Often,,,Neutral,medium,Much soldier his treatment company police significant expect wall see pressure.,-0.760135837,75.286370196
,good,excellent,excellent,good,average,,poor,,Always,,,Neutral,medium,Since off former American last other feel point determine talk me high.,-0.316099666,78.017784735
excellent,,good,very poor,poor,very poor,excellent,average,,,,,,medium,,0.025163831999999997,73.006347699
poor,poor,good,average,,very poor,good,average,yes,Never,yes,yes,,medium,,0.745811869,76.85607834000001
good,good,average,poor,good,excellent,good,good,,Never,,no,Good,medium,Answer situation large full special animal pull action baby collection point buy recognize.,0.012443816,71.88256066
,average,,poor,poor,,excellent,poor,no,Never,,no,Bad,low,,-0.712169149,55.481617323
average,poor,very poor,,excellent,poor,excellent,poor,,Always,yes,no,Very Bad,low,,-0.03228087800000001,50.0
excellent,excellent,,good,average,very poor,very poor,average,yes,Always,,yes,Good,low,,0.982002585,60.16788748
,average,excellent,poor,excellent,excellent,very poor,,yes,Always,yes,yes,,high,,-0.145571369,100.0
poor,excellent,excellent,average,very poor,average,average,,,Sometimes,,,Very Good,medium,,-0.506779467,86.67773001
,poor,good,average,,,very poor,average,,Often,no,no,Very Bad,medium,,0.284042083,77.600854791
good,good,good,poor,excellent,poor,very poor,average,yes,,yes,,Good,medium,How water price compare herself reduce head size brother green.,-1.0,82.79548777800001
very poor,,very poor,very poor,very poor,excellent,average,poor,,Sometimes,,yes,Good,medium,,-0.496414681,86.67206676
,very poor,good,,excellent,average,excellent,poor,,,,yes,,medium,,-0.549504742,80.38985696
poor,very poor,very poor,very poor,average,average,excellent,good,yes,Sometimes,yes,,Very Good,low,,-0.462964742,50.465835108
excellent,good,good,very poor,,very poor,average,,,Sometimes,,yes,,low,,0.178963539,50.0
average,average,excellent,excellent,good,good,poor,poor,no,Always,yes,,Very Good,low,,-0.397219314,66.30744576
average,poor,good,,good,very poor,poor,,,Always,yes,no,Bad,low,,-0.378567771,50.330164734
,excellent,,excellent,average,excellent,very poor,poor,no,Sometimes,no,no,Bad,medium,,0.9764955740000001,77.276034253
excellent,very poor,,excellent,poor,,average,poor,,,no,no,Bad,medium,,-0.11391761500000001,74.642280597
,,average,very poor,poor,very poor,poor,excellent,,Always,yes,yes,Very Good,medium,Where growth end child type site hour card.,0.192339345,72.110475414
excellent,poor,poor,,poor,good,average,good,yes,Never,,,Neutral,medium,Pressure blue must beyond stay even low include throughout exist fly word up.,-0.660086685,86.43054106800001
excellent,average,excellent,,poor,average,,excellent,no,,,yes,Good,high,Word field receive assume right TV involve say hand like scientist.,0.475885257,99.649048521
very poor,very poor,excellent,poor,poor,excellent,poor,poor,,Always,yes,,Neutral,medium,,-0.9126397070000001,76.362074802
good,very poor,average,good,good,,very poor,average,yes,Never,no,,Good,low,,-0.442825179,63.236234925000005
poor,excellent,good,very poor,good,excellent,very poor,excellent,yes,,,no,Neutral,low,,-0.443022609,54.25957981
excellent,average,very poor,poor,poor,very poor,,,yes,Never,yes,,,low,Station Republican indeed most face read.,0.164511953,68.048618157
good,very poor,average,,very poor,very poor,excellent,very poor,yes,,yes,yes,Bad,low,,0.14898314899999998,50.0
poor,poor,excellent,good,average,average,very poor,,yes,Always,yes,no,Very Bad,low,,-0.9852798,53.653430772
poor,average,poor,average,poor,,very poor,good,yes,,,no,Very Bad,medium,Policy computer rock since official during.,-0.568846169,75.581443017
poor,very poor,excellent,good,average,poor,,very poor,no,Never,no,no,,medium,,-0.495070788,74.222222535
very poor,poor,excellent,excellent,good,good,very poor,very poor,,Sometimes,yes,,Good,medium,,-0.6929164750000001,83.81196189
poor,average,,poor,good,good,excellent,very poor,no,Always,,no,Very Good,medium,,-0.9441209580000001,86.551434387
average,poor,very poor,average,very poor,good,good,,yes,Often,,,Very Bad,low,,-1.0,68.052241494
good,average,poor,very poor,average,good,average,,,Sometimes,yes,no,Very Bad,medium,Anyone according base security new throw without.,0.043777439,72.009504189
good,poor,very poor,very poor,poor,,very poor,poor,yes,Always,,yes,Good,low,Wind fall small control thank smile trouble.,-0.699526216,68.07367075500001
,very poor,excellent,poor,poor,good,average,very poor,no,,,yes,,low,Particular theory lay foreign two head hope itself easy magazine onto.,0.303625349,65.30577979499999
,excellent,,poor,poor,,poor,good,,Sometimes,no,yes,Very Bad,low,,-1.0,61.758038762999995
excellent,excellent,excellent,good,excellent,very poor,average,poor,no,Always,,yes,Bad,high,,0.5554921310000001,100.0
good,poor,poor,very poor,good,good,good,very poor,,Often,no,yes,Very Good,low,,0.012519105000000003,62.515588896
,good,good,,,,,good,,,no,,Bad,medium,,0.393563745,87.06326603
,average,very poor,,,poor,poor,average,no,Often,,yes,Neutral,low,Month subject drug back five man.,-0.942872379,52.351958934
good,excellent,very poor,,average,poor,good,excellent,,Often,no,yes,Very Good,low,,-0.757598109,50.78656847
excellent,good,good,very poor,poor,good,very poor,good,yes,Never,yes,yes,Good,medium,,0.05492403800000001,75.506245155
poor,poor,good,,excellent,average,average,very poor,yes,Sometimes,,yes,Good,medium,,0.5725959759999999,85.250389725
poor,very poor,,good,very poor,average,,average,no,,no,,,medium,,-0.731232568,82.766055006
good,very poor,very poor,very poor,average,,very poor,excellent,no,Always,,,Very Good,medium,Increase determine page production window mind create himself.,-1.0,78.470495343
average,,good,poor,good,very poor,good,excellent,yes,Often,no,yes,Bad,low,Must source community know right suffer include trade cell serve attention carry care.,-0.38826321900000005,50.0
,very poor,good,average,very poor,excellent,poor,good,no,Never,no,no,Very Bad,medium,,0.729317773,77.811966144
good,excellent,excellent,average,excellent,very poor,poor,,yes,Never,yes,no,Good,low,Behind mind media nature campaign indicate garden office different deal responsibility financial rather.,0.511044418,59.041859459
excellent,good,,good,average,,very poor,average,no,Often,no,,Very Bad,low,,-0.285651421,66.53420151
,poor,,very poor,very poor,,good,very poor,yes,,no,,,low,Station forget special hand while treatment cold open.,-0.06672670800000002,61.253811639000006
,poor,poor,,very poor,,excellent,good,yes,Never,yes,no,Bad,low,Small simple either mission evidence deal recognize join school pick unit rate page.,0.03735582499999998,50.0
average,poor,,average,poor,poor,good,poor,,Often,no,,Very Good,low,Alone anyone source dog get then family article try them recent author represent.,0.20543559699999997,50.0
good,poor,,average,average,average,poor,excellent,,Never,,no,Very Bad,low,Teach exactly machine piece stand understand plan blue would tonight create generation.,-0.7733250789999999,57.943856295
poor,poor,average,excellent,,poor,excellent,good,,Sometimes,,no,Very Bad,medium,,0.11869015799999999,76.167507258
poor,poor,very poor,average,average,,,good,yes,Often,no,yes,Very Bad,low,,-0.467398343,61.170471027
very poor,average,,,average,poor,excellent,very poor,yes,Often,no,,,medium,Election ago both weight standard wife on section.,-0.9546045919999999,85.29580383300001
very poor,average,,poor,good,very poor,good,,,Often,,,,medium,Drop bring every get bed themselves eye theory one.,0.5985468780000001,74.53889978400001
,very poor,excellent,very poor,very poor,very poor,very poor,poor,no,,,yes,Good,medium,,0.015414811,78.471380673
poor,very poor,,excellent,good,average,good,average,no,,no,,Good,medium,,-0.13572407600000003,84.93920096400001
,excellent,average,excellent,good,excellent,excellent,average,,,yes,yes,Bad,medium,,0.742402158,86.490923728
very poor,good,very poor,very poor,average,good,average,poor,yes,Often,yes,yes,Neutral,low,,-0.012789927000000006,50.0
poor,average,poor,average,,excellent,very poor,excellent,yes,,no,,Very Good,low,,-0.983109886,67.37994649800001
very poor,excellent,very poor,,very poor,,very poor,average,,Never,no,no,Neutral,medium,,-0.384823932,89.863685487
poor,good,average,,excellent,excellent,excellent,poor,no,Sometimes,no,yes,,low,Reflect street stand economic quality deal.,-0.42197934099999995,59.97692195
very poor,poor,poor,average,average,poor,,good,,,yes,,,medium,,-0.681874611,88.942697901
,poor,excellent,excellent,very poor,,average,average,yes,Often,yes,no,Very Good,high,Throw keep firm world recently both set note positive buy black none.,0.21777723,90.68286611
very poor,,good,,very poor,average,excellent,good,yes,Never,,,Very Bad,medium,,0.13270061299999997,83.17345590000001
poor,average,,,good,,poor,poor,no,Never,no,yes,Neutral,low,Chance where sister compare growth success radio read enter that page which visit.,-0.9566365480000001,63.08885092500001
excellent,good,excellent,excellent,,very poor,good,,no,,,yes,Good,high,,0.24210440300000002,100.0
very poor,very poor,average,,poor,average,,good,yes,Sometimes,yes,yes,Neutral,low,First training paper well argue allow.,-1.0,67.526525799
good,average,,average,poor,excellent,poor,excellent,yes,,yes,,Neutral,low,,0.252096485,56.71532888
average,average,,excellent,good,average,excellent,very poor,yes,,no,no,Good,high,,-0.676071667,98.68968397200001
poor,excellent,good,good,excellent,very poor,average,good,no,Always,,no,Very Good,high,,0.537281592,98.47354662
,very poor,excellent,poor,excellent,excellent,poor,excellent,,Always,,,Good,high,Must church meeting leg fund staff that serious.,0.157840629,100.0
excellent,poor,poor,excellent,good,excellent,excellent,average,yes,Sometimes,no,no,Very Bad,low,Support someone say not similar letter drop improve deep total.,0.595336039,69.25599472
average,poor,,excellent,,average,very poor,very poor,no,Sometimes,,,,medium,,0.12023441000000001,88.291282446
,excellent,good,very poor,excellent,very poor,good,average,yes,Always,no,yes,Bad,high,,0.497557219,94.56764826
very poor,excellent,very poor,good,good,,good,poor,no,Often,no,no,,medium,,-0.47119620500000003,76.542840072
,excellent,,,poor,good,good,good,,Always,no,yes,Good,low,Heavy poor others scene service world leave certain right where.,0.550163795,62.69007397
very poor,excellent,very poor,excellent,excellent,,average,excellent,,Sometimes,yes,,Bad,high,,0.280197135,100.0
good,average,poor,good,excellent,,excellent,excellent,no,,yes,yes,,medium,,-0.279526237,89.704365817
,,excellent,good,good,very poor,excellent,average,no,Sometimes,,no,Very Good,high,,1.0,98.544804083
poor,,average,excellent,good,,good,average,yes,Never,,no,Very Good,medium,,0.167564635,79.15696759
average,poor,average,excellent,very poor,excellent,poor,,no,Sometimes,yes,yes,Very Bad,low,,-0.657828313,60.144162435000005
,average,good,excellent,,average,excellent,average,yes,,yes,no,Good,high,,1.0,100.0
good,good,very poor,poor,excellent,,very poor,poor,yes,Often,no,no,Bad,low,,-0.6314661109999999,67.129934733
average,average,very poor,very poor,,poor,average,excellent,,Sometimes,no,yes,Neutral,medium,Guy government drop help among discussion area great make red history.,0.07942710199999997,73.07975397599999
very poor,good,good,average,poor,poor,very poor,very poor,yes,Always,,yes,Neutral,medium,Design plan several some apply another all Mrs worry prevent.,0.273631394,81.723762495
poor,excellent,,excellent,poor,,excellent,very poor,,Often,no,yes,Very Bad,low,,-0.232724689,56.11458002
very poor,,,excellent,good,good,excellent,excellent,no,Never,yes,yes,,high,,-0.411576596,100.0
excellent,,good,poor,,very poor,good,poor,no,Often,,yes,Bad,low,,0.624665445,50.0
poor,average,,average,excellent,excellent,good,good,,,yes,,,medium,,-0.47012598,78.033511039
excellent,excellent,poor,,,good,very poor,good,no,Never,yes,yes,Neutral,low,,-0.750788828,66.06011288
poor,average,average,average,very poor,average,good,excellent,no,Often,no,yes,Bad,low,,-0.252854255,56.633781429
poor,poor,average,good,,good,excellent,excellent,,Never,,,Very Good,high,Game even carry business couple experience.,0.299581906,98.36387534
excellent,very poor,,very poor,poor,excellent,excellent,poor,,Never,yes,yes,Good,low,Who keep feel soldier watch government view.,-0.291967511,68.64221322
poor,excellent,very poor,,average,excellent,excellent,poor,,Often,no,yes,Bad,low,,0.233741269,69.6108834
average,average,,poor,poor,excellent,average,poor,,Always,yes,no,Very Bad,medium,,0.11106786899999999,75.375866043
poor,,excellent,good,excellent,excellent,poor,good,,Never,,no,Very Good,high,,1.0,100.0
excellent,average,average,very poor,,good,,average,no,,,yes,,low,,-0.875681615,50.11546986
excellent,excellent,excellent,good,poor,excellent,good,average,no,,yes,,,medium,National also arrive play pretty arm subject western subject somebody next receive break.,0.18324964400000002,81.28287439800002
,average,poor,very poor,poor,average,poor,poor,yes,Never,yes,,Neutral,medium,,0.140537195,88.68993546600001
average,average,,very poor,very poor,,,very poor,no,Never,no,no,,low,,0.6082852940000001,50.0
,,excellent,very poor,poor,,,,,Always,yes,no,,low,,-0.762330892,50.0
,good,very poor,average,excellent,poor,average,good,yes,,,no,,low,,0.328468414,66.535537284
excellent,very poor,,good,very poor,excellent,average,excellent,no,Never,no,yes,,medium,,-0.359195381,74.41233035500001
good,good,poor,very poor,good,average,good,poor,no,,no,,Neutral,low,,0.08772464199999996,50.0
average,good,good,very poor,,average,poor,poor,no,Never,yes,no,Neutral,low,,-0.96338298,50.487094152
,good,poor,very poor,very poor,very poor,excellent,,,,yes,no,Bad,low,,-0.9978423620000001,60.688032966
,very poor,excellent,average,excellent,,excellent,,yes,Never,yes,yes,Neutral,medium,Garden focus enter a official agent enough.,0.063417788,87.37191284800001
,very poor,average,poor,very poor,excellent,,,yes,Always,,yes,Good,medium,,-0.499508201,87.732988668
good,excellent,excellent,excellent,good,,very poor,average,yes,,yes,,,low,,-0.6072023360000001,61.773636925000005
good,average,average,average,very poor,good,average,,yes,Always,no,yes,,low,,-0.8462178659999999,67.717485243
,good,excellent,average,good,,excellent,average,yes,Never,no,yes,Very Good,medium,Own impact stuff discussion tough last send simple apply purpose take can.,0.06160796000000002,88.36476013200001
very poor,poor,very poor,good,average,good,very poor,average,no,Often,no,yes,Neutral,low,,-1.0,67.111902882
average,excellent,excellent,,very poor,poor,,average,yes,Sometimes,yes,yes,Very Good,medium,,0.54065991,87.57026713
poor,excellent,poor,,average,average,good,,,Always,no,yes,Good,low,,-0.327269999,50.0
average,excellent,good,good,good,excellent,poor,poor,yes,Always,,,,medium,,0.802692108,71.88592582
good,average,average,,poor,,average,very poor,yes,Always,yes,yes,Neutral,low,,-0.088111822,67.567757247
average,,excellent,poor,,average,,good,no,Sometimes,no,no,Very Good,high,Discuss structure mother think specific prove.,0.490851258,98.77809882
average,average,excellent,very poor,poor,very poor,very poor,average,,Always,,yes,Good,medium,,-1.0,70.200907074
poor,very poor,good,poor,good,poor,,poor,yes,Always,no,yes,,medium,,-1.0,82.991328732
,good,average,poor,excellent,,good,,,Sometimes,no,yes,Bad,high,,-0.560283777,93.94900724
average,very poor,good,average,very poor,very poor,poor,good,yes,Sometimes,,no,Neutral,low,,0.7453241690000001,50.0
excellent,good,poor,very poor,good,good,average,good,yes,,yes,no,Bad,medium,,0.5658554359999999,80.171869473
excellent,excellent,average,poor,poor,poor,excellent,excellent,,,yes,,Bad,low,,0.721656976,55.710229586000004
,poor,excellent,poor,,,excellent,very poor,no,,yes,yes,Very Bad,medium,Ready weight daughter option throw among moment church doctor order visit foot.,-0.7592905679999999,85.050214137
average,excellent,poor,excellent,good,,poor,very poor,,Sometimes,,no,Neutral,low,,-0.16759327300000001,50.0
poor,good,average,poor,,excellent,good,,no,Often,,yes,Bad,low,,0.628513453,50.0
,very poor,very poor,average,very poor,average,excellent,,,Often,yes,yes,,low,,-0.02696669800000001,69.050624985
poor,good,,,very poor,average,good,average,yes,Never,yes,no,Very Good,low,Hope day it page loss manage.,-1.0,69.953448357
poor,poor,very poor,average,excellent,average,poor,average,no,Never,yes,,Neutral,low,Quickly face hour town way happy himself left.,0.5637130829999999,63.669983499000004
good,good,excellent,poor,very poor,average,very poor,excellent,,,,,Neutral,low,,-1.0,57.72235080600001
good,,poor,excellent,very poor,average,good,good,,Sometimes,yes,,Bad,low,Born court position despite stop point scientist seat ask organization visit world.,0.5115162019999999,62.326539684
excellent,very poor,average,excellent,excellent,good,,good,no,Never,no,yes,Neutral,high,,0.7221990039999999,100.0
excellent,poor,poor,,very poor,poor,excellent,very poor,,Never,no,no,Bad,low,Should serious end claim hot buy week.,0.0013344619999999807,50.0
very poor,,,average,poor,excellent,excellent,very poor,yes,Sometimes,,yes,Good,low,,0.534975413,55.393978428000004
very poor,good,poor,good,excellent,poor,good,poor,no,Never,yes,,Very Bad,medium,,-0.679615457,85.634589015
excellent,poor,very poor,good,excellent,excellent,good,average,no,,,,Good,medium,,0.371277231,87.031003862
excellent,very poor,poor,excellent,poor,poor,good,average,yes,Never,no,,Good,low,,0.42313746199999996,67.217074749
very poor,,average,,excellent,very poor,average,excellent,no,Often,no,,Good,medium,Eat enjoy condition cause friend phone.,0.586368312,85.1097736
poor,good,good,excellent,average,very poor,average,average,no,Often,yes,yes,Neutral,medium,,-0.9573757860000001,87.747509448
average,poor,good,good,excellent,poor,good,good,no,Always,,,Very Good,medium,,-1.0,74.714422662
very poor,average,good,poor,excellent,excellent,very poor,good,,Never,,no,Very Good,medium,,0.6547101499999999,73.580191965
,excellent,very poor,average,excellent,,average,,yes,Often,,no,Good,high,,1.0,100.0
good,good,,good,good,,,poor,no,Often,yes,no,Very Good,low,,-0.04112149200000001,50.0
poor,very poor,good,poor,good,average,very poor,poor,no,Always,,no,Good,low,Political prevent either last down and together maybe would north eye course the.,-0.763662872,62.434690839000005
good,poor,,good,,very poor,,,,,no,,,medium,,0.060091726999999984,77.058462879
poor,excellent,average,average,average,excellent,excellent,,yes,,no,,Very Bad,low,Gun open stay material want protect buy free true.,0.466309543,60.577502612
excellent,good,very poor,average,good,excellent,excellent,good,,Sometimes,no,no,Good,high,,0.155837783,92.123324227
very poor,average,poor,good,very poor,,good,excellent,yes,Often,yes,yes,Bad,low,,0.776927682,63.418266432
average,average,excellent,poor,very poor,,very poor,good,,Always,,no,Good,medium,,0.772564281,80.398116864
poor,excellent,poor,average,poor,poor,average,poor,no,Often,,no,Neutral,low,,-0.463461395,69.334227396
very poor,average,good,,good,average,excellent,average,no,Never,no,yes,,low,,0.123797376,63.32470385
good,,good,good,excellent,,excellent,very poor,yes,Never,,yes,,low,,-0.314208758,69.822415069
average,poor,poor,poor,poor,very poor,poor,,yes,Always,no,no,Good,low,,-0.232984135,62.248821804
average,very poor,,average,average,excellent,,excellent,,Never,yes,,,high,,-0.5244808519999999,100.0
very poor,average,good,,excellent,,poor,very poor,no,Sometimes,no,yes,Very Bad,medium,Have word surface garden employee Congress scene.,-1.0,81.687645747
,very poor,poor,average,,poor,,average,,Never,,,Neutral,low,,-1.0,50.0
,,good,very poor,poor,average,excellent,poor,,Often,,,,medium,,-0.9203132,88.175736936
excellent,,,good,very poor,average,,excellent,no,Sometimes,,,Bad,low,Cold smile movie opportunity thousand go dream wear.,-0.306670375,65.940136196
very poor,very poor,poor,excellent,very poor,,good,poor,no,Always,yes,,Very Bad,low,Leg low care new dark better cover technology.,-0.8231398729999999,50.0
excellent,excellent,average,,excellent,poor,good,good,yes,Often,no,no,Very Good,medium,,0.964316349,78.21863883900001
very poor,poor,poor,very poor,average,very poor,average,,,Sometimes,,,Good,low,,-0.914806724,64.64212796700001
poor,good,,poor,good,poor,good,excellent,no,Never,yes,yes,Neutral,low,Identify rest side system economy away change.,-0.299570433,52.554834629999995
,average,poor,average,poor,poor,very poor,average,,Always,no,no,Very Bad,medium,Government executive feel style view sea town history well only marriage.,-0.06225133000000002,78.453558774
excellent,very poor,good,excellent,poor,good,poor,good,yes,,yes,,Good,low,,0.276536536,50.0
excellent,average,very poor,,very poor,,good,,yes,Sometimes,yes,yes,Bad,medium,,-0.07263047,84.761143425
poor,excellent,poor,good,very poor,,poor,average,,Often,,,Very Good,medium,,0.186422816,88.391931255
good,,,good,good,,good,good,no,Never,,no,Good,medium,,-0.448485233,75.33938165
average,excellent,good,average,average,excellent,very poor,poor,no,,yes,no,Good,medium,,-0.384171124,78.94438032
,very poor,,poor,,good,average,poor,no,,,no,,low,,-1.0,50.0
good,good,,good,,average,excellent,good,,,,no,Neutral,low,,-0.46646046199999996,69.769972228
average,very poor,average,poor,good,,very poor,very poor,,Always,yes,no,Good,medium,,-0.7207905750000001,79.165451187
excellent,very poor,,,poor,good,,,yes,Often,,,Bad,medium,Either change social share whatever mission.,-1.0,72.13294243800001
good,average,very poor,good,excellent,average,good,,,Never,yes,,Bad,low,,0.838912221,57.64831298
average,good,excellent,poor,very poor,,excellent,good,,Never,,no,,medium,,0.7290168,71.32201092
good,very poor,good,poor,average,excellent,,,yes,Sometimes,yes,,Good,medium,Network stage list if help hand could herself growth board stage.,-0.807746552,80.170968321
excellent,good,average,poor,,average,poor,average,no,Never,yes,no,Very Good,medium,Write trial always third build approach.,0.35148656399999995,83.959260183
very poor,excellent,,very poor,very poor,,good,good,,Sometimes,,no,,low,Water seat everything suddenly because include feel former human month sure one professional.,-0.28213935700000004,50.0
excellent,excellent,excellent,good,excellent,average,,excellent,yes,Sometimes,yes,yes,Neutral,medium,,-0.7718282000000001,89.55423789400001
very poor,,good,,,,,average,,Never,,,Very Good,medium,,0.534415667,89.97091767900001
good,excellent,very poor,average,,good,average,,,Always,,yes,Bad,low,,-0.50588231,52.56908152
very poor,good,,good,good,poor,average,average,,Sometimes,yes,no,Bad,medium,,-0.232974657,70.264743642
,excellent,average,very poor,average,poor,very poor,good,yes,Never,no,,,low,Risk have democratic nor common significant myself pick radio help member find maybe.,-0.134994718,69.683904567
poor,poor,average,excellent,,,excellent,good,no,Always,,yes,Neutral,medium,,0.423097538,88.78247608
